iter	MAE	RMSE
0	36.1826286	45.99922045
1	35.43038153	45.0384664
2	34.73177139	44.15063317
3	34.07101673	43.30445069
4	33.44270769	42.50620893
5	32.87043554	41.78705548
6	32.31862075	41.0964595
7	31.81407256	40.4699867
8	31.34918938	39.89544312
9	30.92250667	39.3731393
10	30.51699641	38.88031282
11	30.15124414	38.44334282
12	29.80349871	38.02724515
13	29.46848391	37.63236422
14	29.18483217	37.30413201
15	28.91146274	36.98296934
16	28.65665689	36.68925206
17	28.41492946	36.41557901
18	28.19243567	36.16525896
19	27.97893286	35.92762631
20	27.77881968	35.70556434
21	27.59375337	35.50467387
22	27.41941377	35.31395442
23	27.26168793	35.14346444
24	27.11491524	34.98430558
25	26.96713487	34.82434679
26	26.85636521	34.70343018
27	26.74271342	34.58079925
28	26.62585322	34.45816883
29	26.52204675	34.3484956
30	26.41523461	34.23201472
31	26.3114989	34.1182131
32	26.21924856	34.01554343
33	26.13204944	33.91953364
34	26.05664626	33.83461304
35	25.97657133	33.74818821
36	25.90202545	33.66910786
37	25.83505913	33.59397736
38	25.77358384	33.52671937
39	25.71622375	33.46399762
40	25.65080453	33.39071636
41	25.60470543	33.34061105
42	25.54842037	33.28007909
43	25.41341471	33.11818553
44	25.33798916	33.03260115
45	25.29498222	32.98552612
46	25.2598617	32.94885762
47	25.22555501	32.91368646
48	25.12595245	32.79836829
49	25.09132051	32.76118704
50	25.05413524	32.72229141
51	25.02581824	32.69227517
52	24.92828559	32.55926882
53	24.89034764	32.52003503
54	24.77035499	32.36666681
55	24.7594453	32.35593133
56	24.70674296	32.29397451
57	24.60387812	32.15661156
58	24.52296857	32.0651558
59	24.49941424	32.03999798
60	24.4755479	32.012637
61	24.44201468	31.97432645
62	24.41649694	31.94655194
63	24.33265291	31.8595797
64	24.30982552	31.83551003
65	24.28112316	31.80331314
66	24.25639341	31.77646796
67	24.21843287	31.73237542
68	24.17076539	31.67715243
69	24.14235998	31.64234619
70	24.10399883	31.59228214
71	24.07359651	31.5574809
72	24.02680351	31.4972067
73	23.99829709	31.46250846
74	23.880802	31.3055791
75	23.70819072	31.06933727
76	23.68402947	31.04184822
77	23.66785946	31.02525757
78	23.58258235	30.9185546
79	23.56564675	30.90135525
80	23.53622303	30.87076527
81	23.51995571	30.85102913
82	23.33826218	30.62067135
83	23.30083217	30.57747769
84	23.27818221	30.55064664
85	23.24941456	30.52431028
86	23.19092736	30.45089437
87	23.03533643	30.24865501
88	22.88365037	30.04544215
89	22.78549971	29.9235907
90	22.7311542	29.85084948
91	22.70485196	29.82329576
92	22.68486496	29.79571733
93	22.67020724	29.7759723
94	22.63971895	29.73963455
95	22.60280749	29.69403764
96	22.52817007	29.59696718
97	22.51417308	29.58006117
98	22.48305021	29.54304712
99	22.46266268	29.52212701
100	22.44240833	29.49846137
101	22.30901688	29.31893932
102	22.2846758	29.28945871
103	22.19977891	29.20320655
104	22.18669967	29.18866269
105	22.16680805	29.165824
106	22.08356477	29.0621379
107	22.07172102	29.04840247
108	22.04531932	29.01072884
109	21.89654693	28.82714557
110	21.78718196	28.70190433
111	21.76682559	28.67762071
112	21.74829263	28.65680989
113	21.7161387	28.61823321
114	21.6918956	28.58781906
115	21.66225941	28.55142008
116	21.6496768	28.5374438
117	21.64103174	28.52887321
118	21.60875131	28.4937839
119	21.58029725	28.45733879
120	21.51382218	28.39172917
121	21.49845733	28.37617671
122	21.46557653	28.33416943
123	21.44950713	28.31898829
124	21.43062886	28.29491293
125	21.3561685	28.18011486
126	21.30718527	28.12401058
127	21.20686848	27.98589276
128	21.0980645	27.84444303
129	21.07454533	27.82171586
130	21.06110037	27.80589493
131	21.05168671	27.7948749
132	20.93204326	27.63884639
133	20.90846109	27.61543157
134	20.8880214	27.58947542
135	20.85988126	27.55177937
136	20.83868899	27.52863681
137	20.76827234	27.43544028
138	20.74993547	27.41412667
139	20.73205886	27.38678436
140	20.64853894	27.28308061
141	20.62902744	27.25643448
142	20.49579437	27.0895979
143	20.47803723	27.07054695
144	20.46072718	27.05298657
145	20.41434696	27.00099479
146	20.3620588	26.93835289
147	20.27036512	26.8388185
148	20.25951529	26.82607914
149	20.15675549	26.66995315
150	20.10248005	26.61670644
151	20.08948626	26.60349478
152	20.0808857	26.59328338
153	20.06978798	26.58116793
154	19.93005736	26.41595862
155	19.89654652	26.38197985
156	19.75143419	26.20683518
157	19.72985818	26.18008479
158	19.7131501	26.16117732
159	19.697387	26.14172157
160	19.68301976	26.12805094
161	19.5886404	26.00179619
162	19.57853784	25.98885202
163	19.55928562	25.9647264
164	19.45439472	25.83090203
165	19.36491339	25.70992957
166	19.31687813	25.64507366
167	19.3087867	25.6372794
168	19.29358608	25.62064681
169	19.23835349	25.56967577
170	19.22632958	25.55836166
171	19.21864172	25.54909533
172	19.20439605	25.53292721
173	19.18625619	25.51044376
174	19.14799827	25.46056119
175	19.09978356	25.39706976
176	19.06278398	25.35443269
177	19.04751193	25.33101766
178	18.93600203	25.19846789
179	18.92779013	25.18817976
180	18.90818647	25.16759544
181	18.82965735	25.08184522
182	18.7498627	24.99366119
183	18.60705035	24.79392114
184	18.58861922	24.77203136
185	18.57918874	24.76282242
186	18.46483556	24.59327517
187	18.44294528	24.56555424
188	18.4279531	24.55090502
189	18.40684409	24.52226998
190	18.39731225	24.51298395
191	18.38219216	24.49136663
192	18.37282392	24.48105344
193	18.34849649	24.44261219
194	18.34006658	24.4346161
195	18.32587588	24.41702497
196	18.3187345	24.40791384
197	18.31146474	24.39926715
198	18.30123756	24.38920521
199	18.22379014	24.29981514
200	18.14145082	24.21358408
201	18.04734818	24.09165817
202	18.03884512	24.08387942
203	18.02967533	24.07193584
204	18.01218001	24.04660591
205	17.9796422	24.012631
206	17.97083291	24.00468645
207	17.95465512	23.98798766
208	17.91159494	23.92062703
209	17.8945255	23.89393118
210	17.88432016	23.88425878
211	17.87305421	23.87094206
212	17.86640235	23.86429135
213	17.85874835	23.85580867
214	17.84888002	23.84302143
215	17.8407098	23.83517394
216	17.83154202	23.82344386
217	17.8246014	23.81619738
218	17.81861131	23.80951336
219	17.7913605	23.78181552
220	17.76504286	23.75368634
221	17.74858228	23.73648816
222	17.74032923	23.72663988
223	17.73417125	23.71887792
224	17.72562633	23.7101939
225	17.70273318	23.68079581
226	17.68342814	23.65865222
227	17.61790031	23.58126103
228	17.57018673	23.53552953
229	17.51319098	23.47721685
230	17.46353984	23.40940203
231	17.42772367	23.37845797
232	17.33347696	23.25203478
233	17.32693607	23.24460093
234	17.28281679	23.20011101
235	17.21256273	23.10898287
236	17.2019547	23.0994269
237	17.19126226	23.08935906
238	17.10832993	22.97141709
239	17.02683046	22.85235822
240	16.98631143	22.80962734
241	16.97102462	22.79144516
242	16.95292439	22.76584208
243	16.90043965	22.69000207
244	16.86069504	22.63466132
245	16.85262394	22.62625533
246	16.7928185	22.55990088
247	16.7855861	22.55172924
248	16.7632771	22.52265026
249	16.70547249	22.45441534
250	16.66588915	22.40351128
251	16.65591716	22.39475693
252	16.56843344	22.26131836
253	16.49213472	22.17490335
254	16.46231155	22.1491507
255	16.38620067	22.05348672
256	16.3140817	21.95062531
257	16.30173407	21.93983292
258	16.28532825	21.92044956
259	16.20868722	21.81176633
260	16.17207936	21.75532312
261	16.13211839	21.69070483
262	16.12176381	21.68046682
263	16.05115352	21.58451967
264	16.03669819	21.56164081
265	16.02686093	21.55244012
266	16.01397879	21.53851192
267	16.00157533	21.52562526
268	15.99527476	21.51904298
269	15.9850367	21.50907674
270	15.97389128	21.49149868
271	15.96574002	21.48280286
272	15.95999082	21.47724478
273	15.95293229	21.47042447
274	15.94588389	21.46395712
275	15.93136465	21.44111718
276	15.92496566	21.43517983
277	15.86488954	21.35617978
278	15.85020258	21.33427825
279	15.84297272	21.32740099
280	15.80889423	21.27440397
281	15.79706735	21.25677339
282	15.79027358	21.2498898
283	15.76056118	21.22256016
284	15.7556401	21.21643816
285	15.74799348	21.20885178
286	15.74226331	21.20332548
287	15.73639353	21.19753536
288	15.72286628	21.17776768
289	15.69012332	21.13507753
290	15.60453681	21.04337527
291	15.59674841	21.03469194
292	15.54569139	20.96717822
293	15.53739943	20.95875022
294	15.45703811	20.86937506
295	15.44896208	20.86162333
296	15.44288057	20.85672603
297	15.43684424	20.85072056
298	15.43067495	20.84491001
299	15.39480202	20.79288012
300	15.33675984	20.71510482
301	15.28798879	20.63455061
302	15.28267378	20.62966307
303	15.27470962	20.61955558
304	15.26672051	20.6109034
305	15.2215899	20.55553109
306	15.21166413	20.54167845
307	15.20430612	20.5343019
308	15.19903568	20.53004443
309	15.16560184	20.48164668
310	15.13645005	20.44214812
311	15.06883743	20.36617736
312	15.06160627	20.35930443
313	15.01202161	20.28854674
314	15.00753083	20.28395947
315	14.99629818	20.26988707
316	14.98931034	20.26301417
317	14.98517528	20.25936528
318	14.97411356	20.24809628
319	14.96078214	20.2312649
320	14.93042735	20.20266357
321	14.92468646	20.19718684
322	14.90082787	20.17669401
323	14.88174643	20.15230331
324	14.87576672	20.14728656
325	14.869325	20.14074741
326	14.86477419	20.13591251
327	14.85673287	20.12671801
328	14.84868787	20.11476341
329	14.80793189	20.07954252
330	14.80026986	20.0706721
331	14.79186675	20.05919607
332	14.74919672	20.02001367
333	14.74300203	20.01296406
334	14.69964102	19.95475164
335	14.69169857	19.94518109
336	14.68700137	19.94032972
337	14.62175265	19.82217441
338	14.61408107	19.81406815
339	14.54252117	19.72872864
340	14.53299679	19.71869292
341	14.52746861	19.71363091
342	14.5181599	19.70388101
343	14.51250224	19.69876843
344	14.41968736	19.57762167
345	14.34194008	19.48685808
346	14.33701096	19.48208876
347	14.28429389	19.43057613
348	14.27630278	19.42361649
349	14.25547822	19.39082118
350	14.24574255	19.37967154
351	14.24051253	19.37431937
352	14.2106027	19.34585493
353	14.18736493	19.32663398
354	14.1826088	19.32234129
355	14.1478766	19.2922286
356	14.13030439	19.27313023
357	14.12390465	19.26747555
358	14.08165633	19.21759157
359	14.04998058	19.18131916
360	14.03793731	19.16472835
361	13.9801544	19.08368626
362	13.9713623	19.07515511
363	13.96492466	19.06978638
364	13.93301689	19.03078284
365	13.92150816	19.01686252
366	13.81695802	18.8592496
367	13.80864788	18.85080645
368	13.79819772	18.83969499
369	13.79101602	18.83277528
370	13.74929673	18.75780266
371	13.73981054	18.74429368
372	13.6893596	18.69242276
373	13.68046014	18.6806513
374	13.65083476	18.65542484
375	13.64594193	18.65112914
376	13.59295075	18.58174484
377	13.57800574	18.5634808
378	13.5729605	18.55892292
379	13.54704705	18.53796098
380	13.51491651	18.49940452
381	13.4857165	18.47458942
382	13.41812819	18.37805691
383	13.41143507	18.3707452
384	13.3640183	18.3073023
385	13.35688876	18.30023624
386	13.34229055	18.27825334
387	13.33372954	18.26997117
388	13.32898458	18.26509492
