iter	Passed	Remaining
0	15	15611
1	33	16708
2	46	15420
3	59	14763
4	71	14152
5	81	13559
6	95	13511
7	110	13749
8	121	13397
9	132	13154
10	145	13110
11	161	13329
12	176	13367
13	186	13166
14	197	12957
15	208	12792
16	220	12739
17	232	12701
18	244	12602
19	256	12574
20	268	12523
21	283	12581
22	296	12597
23	308	12562
24	319	12447
25	331	12416
26	344	12418
27	355	12348
28	368	12328
29	380	12308
30	391	12235
31	406	12294
32	417	12223
33	430	12218
34	441	12164
35	454	12183
36	470	12234
37	483	12244
38	496	12238
39	508	12204
40	525	12289
41	539	12308
42	555	12363
43	572	12440
44	588	12495
45	604	12529
46	618	12544
47	630	12513
48	647	12566
49	660	12554
50	675	12573
51	691	12604
52	706	12620
53	722	12660
54	738	12687
55	749	12631
56	764	12649
57	778	12650
58	796	12702
59	807	12645
60	824	12686
61	839	12706
62	854	12710
63	870	12734
64	884	12720
65	899	12736
66	913	12715
67	924	12666
68	938	12664
69	951	12646
70	964	12623
71	979	12630
72	997	12669
73	1013	12681
74	1030	12707
75	1049	12754
76	1064	12764
77	1078	12744
78	1092	12741
79	1106	12724
80	1120	12711
81	1135	12706
82	1151	12727
83	1168	12742
84	1184	12750
85	1199	12745
86	1226	12866
87	1244	12902
88	1273	13035
89	1292	13072
90	1313	13118
91	1329	13118
92	1343	13104
93	1374	13243
94	1388	13228
95	1400	13188
96	1427	13286
97	1448	13332
98	1462	13312
99	1479	13319
100	1494	13306
101	1511	13304
102	1526	13291
103	1545	13314
104	1561	13306
105	1571	13254
106	1588	13254
107	1605	13257
108	1622	13260
109	1637	13250
110	1652	13232
111	1667	13224
112	1681	13197
113	1697	13190
114	1711	13172
115	1729	13177
116	1745	13174
117	1763	13179
118	1781	13190
119	1801	13211
120	1818	13213
121	1836	13216
122	1852	13206
123	1867	13195
124	1885	13199
125	1904	13210
126	1922	13216
127	1941	13229
128	1958	13220
129	1974	13216
130	1991	13212
131	2010	13220
132	2028	13221
133	2043	13205
134	2059	13197
135	2083	13234
136	2100	13232
137	2117	13225
138	2135	13227
139	2151	13218
140	2172	13235
141	2188	13221
142	2205	13216
143	2226	13237
144	2243	13231
145	2264	13243
146	2281	13239
147	2298	13234
148	2315	13223
149	2333	13222
150	2354	13238
151	2370	13222
152	2385	13208
153	2400	13184
154	2416	13175
155	2432	13162
156	2449	13150
157	2465	13138
158	2480	13120
159	2495	13101
160	2508	13074
161	2524	13060
162	2539	13042
163	2561	13059
164	2579	13051
165	2594	13032
166	2611	13025
167	2626	13008
168	2643	12999
169	2662	12999
170	2689	13037
171	2706	13031
172	2722	13013
173	2739	13002
174	2757	12999
175	2775	12994
176	2790	12974
177	2807	12963
178	2828	12970
179	2843	12952
180	2860	12942
181	2878	12939
182	2896	12932
183	2913	12920
184	2930	12911
185	2946	12894
186	2963	12882
187	2978	12866
188	2994	12849
189	3009	12830
190	3024	12810
191	3040	12794
192	3054	12773
193	3070	12757
194	3087	12746
195	3104	12734
196	3112	12687
197	3130	12678
198	3145	12659
199	3160	12642
200	3176	12626
201	3191	12609
202	3207	12593
203	3218	12558
204	3235	12547
205	3251	12531
206	3269	12523
207	3283	12504
208	3320	12567
209	3338	12557
210	3356	12549
211	3369	12524
212	3387	12517
213	3404	12503
214	3419	12485
215	3433	12462
216	3450	12449
217	3468	12442
218	3483	12422
219	3502	12418
220	3521	12414
221	3539	12405
222	3560	12407
223	3580	12405
224	3601	12406
225	3627	12424
226	3642	12404
227	3663	12403
228	3678	12385
229	3696	12375
230	3715	12369
231	3742	12389
232	3772	12417
233	3788	12402
234	3815	12420
235	3835	12417
236	3850	12396
237	3869	12389
238	3892	12392
239	3914	12396
240	3930	12379
241	3946	12361
242	3969	12365
243	3989	12360
244	4006	12346
245	4023	12333
246	4040	12316
247	4055	12298
248	4069	12275
249	4086	12259
250	4104	12247
251	4120	12231
252	4139	12221
253	4156	12206
254	4172	12189
255	4187	12171
256	4202	12150
257	4219	12134
258	4235	12116
259	4251	12101
260	4268	12085
261	4284	12068
262	4300	12052
263	4317	12036
264	4331	12012
265	4348	11998
266	4360	11971
267	4375	11951
268	4391	11935
269	4408	11919
270	4428	11911
271	4442	11890
272	4466	11893
273	4480	11870
274	4498	11858
275	4515	11845
276	4531	11826
277	4548	11812
278	4565	11797
279	4579	11776
280	4596	11760
281	4614	11749
282	4630	11731
283	4644	11710
284	4661	11694
285	4675	11671
286	4691	11655
287	4705	11633
288	4720	11613
289	4737	11597
290	4753	11580
291	4766	11556
292	4779	11533
293	4795	11515
294	4810	11496
295	4823	11471
296	4839	11454
297	4852	11431
298	4869	11416
299	4885	11400
300	4901	11383
301	4918	11367
302	4935	11352
303	4952	11337
304	4967	11318
305	4984	11304
306	5002	11291
307	5018	11274
308	5035	11259
309	5052	11245
310	5065	11221
311	5081	11205
312	5098	11191
313	5115	11175
314	5132	11160
315	5152	11152
316	5169	11137
317	5185	11121
318	5204	11110
319	5222	11097
320	5239	11083
321	5255	11066
322	5273	11052
323	5288	11035
324	5307	11022
325	5326	11011
326	5342	10996
327	5353	10967
328	5372	10958
329	5388	10939
330	5399	10912
331	5415	10896
332	5429	10875
333	5445	10857
334	5462	10842
335	5471	10813
336	5487	10795
337	5505	10783
338	5519	10762
339	5533	10742
340	5550	10725
341	5563	10703
342	5578	10684
343	5594	10669
344	5610	10650
345	5625	10633
346	5639	10613
347	5654	10593
348	5670	10577
349	5688	10563
350	5702	10544
351	5722	10534
352	5741	10523
353	5759	10510
354	5773	10489
355	5788	10472
356	5804	10454
357	5820	10437
358	5839	10425
359	5856	10411
360	5872	10394
361	5887	10375
362	5901	10356
363	5915	10336
364	5934	10324
365	5954	10314
366	5972	10301
367	5990	10288
368	6009	10276
369	6027	10263
370	6044	10247
371	6061	10232
372	6077	10216
373	6094	10201
374	6112	10188
375	6130	10173
376	6147	10158
377	6166	10146
378	6180	10126
379	6195	10109
380	6213	10094
381	6227	10075
382	6243	10058
383	6256	10037
384	6274	10022
385	6287	10001
386	6302	9983
387	6317	9964
388	6334	9948
389	6350	9932
390	6365	9915
391	6383	9900
392	6397	9880
393	6411	9861
394	6428	9846
395	6445	9830
396	6461	9814
397	6478	9798
398	6493	9781
399	6510	9766
400	6529	9753
401	6546	9738
402	6562	9722
403	6580	9707
404	6597	9692
405	6614	9677
406	6632	9663
407	6650	9649
408	6665	9632
409	6680	9613
410	6697	9597
411	6713	9581
412	6728	9563
413	6744	9546
414	6760	9529
415	6776	9513
416	6794	9499
417	6810	9482
418	6824	9463
419	6843	9450
420	6856	9429
421	6872	9412
422	6889	9397
423	6903	9378
424	6920	9362
425	6935	9345
426	6952	9329
427	6962	9305
428	6981	9291
429	6995	9273
430	7010	9255
431	7027	9239
432	7041	9220
433	7060	9207
434	7072	9186
435	7087	9168
436	7102	9150
437	7117	9132
438	7132	9115
439	7147	9097
440	7163	9079
441	7180	9064
442	7199	9052
443	7215	9035
444	7231	9018
445	7247	9002
446	7265	8988
447	7282	8972
448	7297	8955
449	7314	8939
450	7328	8920
451	7344	8904
452	7361	8888
453	7375	8869
454	7392	8854
455	7407	8837
456	7424	8821
457	7442	8807
458	7460	8792
459	7479	8780
460	7494	8763
461	7509	8744
462	7524	8727
463	7539	8709
464	7557	8695
465	7574	8679
466	7592	8665
467	7610	8650
468	7625	8633
469	7640	8615
470	7656	8599
471	7675	8586
472	7689	8567
473	7707	8553
474	7723	8536
475	7738	8519
476	7757	8505
477	7774	8490
478	7788	8471
479	7805	8456
480	7821	8439
481	7839	8424
482	7854	8407
483	7870	8390
484	7884	8372
485	7899	8354
486	7919	8342
487	7937	8327
488	7952	8310
489	7971	8296
490	7988	8281
491	8004	8264
492	8020	8248
493	8038	8233
